Municipio;Nomes de medida;Ranking;Valores de medida
INDIAPORÃ;Qtd-Doses-Distribuidas;147º;6484
MARTINÓPOLIS;% em relação as doses enviadas;148º;0,997290628
MARTINÓPOLIS;Total de Doses Aplicadas;148º;39201,5
MARTINÓPOLIS;Qtd-Doses-Distribuidas;148º;39308
PORTO FERREIRA;% em relação as doses enviadas;149º;0,997006370
PORTO FERREIRA;Total de Doses Aplicadas;149º;78098,5
PORTO FERREIRA;Qtd-Doses-Distribuidas;149º;78333
CABREÚVA;% em relação as doses enviadas;150º;0,996691679
CABREÚVA;Total de Doses Aplicadas;150º;70798
CABREÚVA;Qtd-Doses-Distribuidas;150º;71033
JARINU;% em relação as doses enviadas;151º;0,996602908
JARINU;Total de Doses Aplicadas;151º;46059
JARINU;Qtd-Doses-Distribuidas;151º;46216
PRESIDENTE VENCESLAU;% em relação as doses enviadas;152º;0,996367190
PRESIDENTE VENCESLAU;Total de Doses Aplicadas;152º;54031
PRESIDENTE VENCESLAU;Qtd-Doses-Distribuidas;152º;54228
SANTO ANTÔNIO DO JARDIM;% em relação as doses enviadas;153º;0,996265425
SANTO ANTÔNIO DO JARDIM;Total de Doses Aplicadas;153º;9203,5
SANTO ANTÔNIO DO JARDIM;Qtd-Doses-Distribuidas;153º;9238
SÃO JOÃO DA BOA VISTA;% em relação as doses enviadas;154º;0,995691491
SÃO JOÃO DA BOA VISTA;Total de Doses Aplicadas;154º;140277
SÃO JOÃO DA BOA VISTA;Qtd-Doses-Distribuidas;154º;140884
DOURADO;% em relação as doses enviadas;155º;0,995309359
DOURADO;Total de Doses Aplicadas;155º;13368
DOURADO;Qtd-Doses-Distribuidas;155º;13431
SALESÓPOLIS;% em relação as doses enviadas;156º;0,995269372
SALESÓPOLIS;Total de Doses Aplicadas;156º;25457
SALESÓPOLIS;Qtd-Doses-Distribuidas;156º;25578
ALAMBARI;% em relação as doses enviadas;157º;0,995246019
ALAMBARI;Total de Doses Aplicadas;157º;8374
ALAMBARI;Qtd-Doses-Distribuidas;157º;8414
PIRANGI;% em relação as doses enviadas;158º;0,994740226
PIRANGI;Total de Doses Aplicadas;158º;17021
PIRANGI;Qtd-Doses-Distribuidas;158º;17111
PEDREGULHO;% em relação as doses enviadas;159º;0,994446038
PEDREGULHO;Total de Doses Aplicadas;159º;24261,5
PEDREGULHO;Qtd-Doses-Distribuidas;159º;24397
LOUVEIRA;% em relação as doses enviadas;160º;0,994230545
LOUVEIRA;Total de Doses Aplicadas;160º;68069
LOUVEIRA;Qtd-Doses-Distribuidas;160º;68464
TABAPUÃ;% em relação as doses enviadas;161º;0,993762708
TABAPUÃ;Total de Doses Aplicadas;161º;18083,5
TABAPUÃ;Qtd-Doses-Distribuidas;161º;18197
SÃO CARLOS;% em relação as doses enviadas;162º;0,993153399
SÃO CARLOS;Total de Doses Aplicadas;162º;383460,5
SÃO CARLOS;Qtd-Doses-Distribuidas;162º;386104
PILAR DO SUL;% em relação as doses enviadas;163º;0,993029522
PILAR DO SUL;Total de Doses Aplicadas;163º;42382,5
PILAR DO SUL;Qtd-Doses-Distribuidas;163º;42680
ITÁPOLIS;% em relação as doses enviadas;164º;0,991984817
ITÁPOLIS;Total de Doses Aplicadas;164º;58540
ITÁPOLIS;Qtd-Doses-Distribuidas;164º;59013
BROTAS;% em relação as doses enviadas;165º;0,991962492
BROTAS;Total de Doses Aplicadas;165º;35544
BROTAS;Qtd-Doses-Distribuidas;165º;35832
NIPOÃ;% em relação as doses enviadas;166º;0,991881299
NIPOÃ;Total de Doses Aplicadas;166º;7086
NIPOÃ;Qtd-Doses-Distribuidas;166º;7144
PARDINHO;% em relação as doses enviadas;167º;0,991644177
PARDINHO;Total de Doses Aplicadas;167º;9553,5
PARDINHO;Qtd-Doses-Distribuidas;167º;9634
SANTANA DE PARNAÍBA;% em relação as doses enviadas;168º;0,991583283
SANTANA DE PARNAÍBA;Total de Doses Aplicadas;168º;210882
SANTANA DE PARNAÍBA;Qtd-Doses-Distribuidas;168º;212672
IGARATÁ;% em relação as doses enviadas;169º;0,991564980
IGARATÁ;Total de Doses Aplicadas;169º;14870,5
IGARATÁ;Qtd-Doses-Distribuidas;169º;14997
ARANDU;% em relação as doses enviadas;170º;0,991339971
ARANDU;Total de Doses Aplicadas;170º;9558,5
ARANDU;Qtd-Doses-Distribuidas;170º;9642
QUADRA;% em relação as doses enviadas;171º;0,991194276
QUADRA;Total de Doses Aplicadas;171º;5403
QUADRA;Qtd-Doses-Distribuidas;171º;5451
LARANJAL PAULISTA;% em relação as doses enviadas;172º;0,991071855
LARANJAL PAULISTA;Total de Doses Aplicadas;172º;41460,5
LARANJAL PAULISTA;Qtd-Doses-Distribuidas;172º;41834
SANTA RITA D'OESTE;% em relação as doses enviadas;173º;0,990954319
SANTA RITA D'OESTE;Total de Doses Aplicadas;173º;4382
SANTA RITA D'OESTE;Qtd-Doses-Distribuidas;173º;4422
MIGUELÓPOLIS;% em relação as doses enviadas;174º;0,990898483
MIGUELÓPOLIS;Total de Doses Aplicadas;174º;29722
MIGUELÓPOLIS;Qtd-Doses-Distribuidas;174º;29995
REGENTE FEIJÓ;% em relação as doses enviadas;175º;0,990768760
REGENTE FEIJÓ;Total de Doses Aplicadas;175º;29139,5
REGENTE FEIJÓ;Qtd-Doses-Distribuidas;175º;29411
ADAMANTINA;% em relação as doses enviadas;176º;0,990712616
ADAMANTINA;Total de Doses Aplicadas;176º;53816,5
ADAMANTINA;Qtd-Doses-Distribuidas;176º;54321
CESÁRIO LANGE;% em relação as doses enviadas;177º;0,990537942
CESÁRIO LANGE;Total de Doses Aplicadas;177º;26276
CESÁRIO LANGE;Qtd-Doses-Distribuidas;177º;26527
TORRE DE PEDRA;% em relação as doses enviadas;178º;0,989943209
TORRE DE PEDRA;Total de Doses Aplicadas;178º;4183,5
TORRE DE PEDRA;Qtd-Doses-Distribuidas;178º;4226
GUARANI D'OESTE;% em relação as doses enviadas;179º;0,989348935
GUARANI D'OESTE;Total de Doses Aplicadas;179º;3297,5
GUARANI D'OESTE;Qtd-Doses-Distribuidas;179º;3333
SÃO PAULO;% em relação as doses enviadas;180º;0,989333578
SÃO PAULO;Total de Doses Aplicadas;180º;18345215,5
SÃO PAULO;Qtd-Doses-Distribuidas;180º;18543003
PIRAJU;% em relação as doses enviadas;181º;0,989238962
PIRAJU;Total de Doses Aplicadas;181º;44585
PIRAJU;Qtd-Doses-Distribuidas;181º;45070
ÁLVARO DE CARVALHO;% em relação as doses enviadas;182º;0,989201494
ÁLVARO DE CARVALHO;Total de Doses Aplicadas;182º;8473,5
ÁLVARO DE CARVALHO;Qtd-Doses-Distribuidas;182º;8566
ARARAQUARA;% em relação as doses enviadas;183º;0,988612483
ARARAQUARA;Total de Doses Aplicadas;183º;356117
ARARAQUARA;Qtd-Doses-Distribuidas;183º;360219
MONTE CASTELO;% em relação as doses enviadas;184º;0,988392157
MONTE CASTELO;Total de Doses Aplicadas;184º;6301
MONTE CASTELO;Qtd-Doses-Distribuidas;184º;6375
RIFAINA;% em relação as doses enviadas;185º;0,988323948
RIFAINA;Total de Doses Aplicadas;185º;5967,5
RIFAINA;Qtd-Doses-Distribuidas;185º;6038
RUBIÁCEA;% em relação as doses enviadas;186º;0,987937559
RUBIÁCEA;Total de Doses Aplicadas;186º;4177
RUBIÁCEA;Qtd-Doses-Distribuidas;186º;4228
ITU;% em relação as doses enviadas;187º;0,987936497
ITU;Total de Doses Aplicadas;187º;256944,5
ITU;Qtd-Doses-Distribuidas;187º;260082
MONTE ALTO;% em relação as doses enviadas;188º;0,987488841
MONTE ALTO;Total de Doses Aplicadas;188º;74114
MONTE ALTO;Qtd-Doses-Distribuidas;188º;75053
LEME;% em relação as doses enviadas;189º;0,987417177
LEME;Total de Doses Aplicadas;189º;142468,5
LEME;Qtd-Doses-Distribuidas;189º;144284
OSASCO;% em relação as doses enviadas;190º;0,987331698
OSASCO;Total de Doses Aplicadas;190º;987464
OSASCO;Qtd-Doses-Distribuidas;190º;1000134
SÃO VICENTE;% em relação as doses enviadas;191º;0,986610203
SÃO VICENTE;Total de Doses Aplicadas;191º;459197
SÃO VICENTE;Qtd-Doses-Distribuidas;191º;465429
MENDONÇA;% em relação as doses enviadas;192º;0,986253924
MENDONÇA;Total de Doses Aplicadas;192º;9112
MENDONÇA;Qtd-Doses-Distribuidas;192º;9239
VERA CRUZ;% em relação as doses enviadas;193º;0,985835874
VERA CRUZ;Total de Doses Aplicadas;193º;15521
VERA CRUZ;Qtd-Doses-Distribuidas;193º;15744
ENGENHEIRO COELHO;% em relação as doses enviadas;194º;0,985553889
ENGENHEIRO COELHO;Total de Doses Aplicadas;194º;26948
ENGENHEIRO COELHO;Qtd-Doses-Distribuidas;194º;27343
RIBEIRÃO DO SUL;% em relação as doses enviadas;195º;0,985308521
RIBEIRÃO DO SUL;Total de Doses Aplicadas;195º;7042
RIBEIRÃO DO SUL;Qtd-Doses-Distribuidas;195º;7147
BURI;% em relação as doses enviadas;196º;0,984158874
BURI;Total de Doses Aplicadas;196º;27677,5
BURI;Qtd-Doses-Distribuidas;196º;28123
TATUÍ;% em relação as doses enviadas;197º;0,984130590
TATUÍ;Total de Doses Aplicadas;197º;173268
TATUÍ;Qtd-Doses-Distribuidas;197º;176062
URUPÊS;% em relação as doses enviadas;198º;0,984012715
URUPÊS;Total de Doses Aplicadas;198º;21050
URUPÊS;Qtd-Doses-Distribuidas;198º;21392
AVARÉ;% em relação as doses enviadas;199º;0,983337513
AVARÉ;Total de Doses Aplicadas;199º;137239,5
AVARÉ;Qtd-Doses-Distribuidas;199º;139565
JOSÉ BONIFÁCIO;% em relação as doses enviadas;200º;0,982996812
JOSÉ BONIFÁCIO;Total de Doses Aplicadas;200º;53650
JOSÉ BONIFÁCIO;Qtd-Doses-Distribuidas;200º;54578
SÃO JOÃO DO PAU D'ALHO;% em relação as doses enviadas;201º;0,982841069
SÃO JOÃO DO PAU D'ALHO;Total de Doses Aplicadas;201º;3494
SÃO JOÃO DO PAU D'ALHO;Qtd-Doses-Distribuidas;201º;3555
JUNDIAÍ;% em relação as doses enviadas;202º;0,982693832
JUNDIAÍ;Total de Doses Aplicadas;202º;612460
JUNDIAÍ;Qtd-Doses-Distribuidas;202º;623246
ONDA VERDE;% em relação as doses enviadas;203º;0,982160840
ONDA VERDE;Total de Doses Aplicadas;203º;6827
ONDA VERDE;Qtd-Doses-Distribuidas;203º;6951
ITAPUÍ;% em relação as doses enviadas;204º;0,982130988
ITAPUÍ;Total de Doses Aplicadas;204º;19209,5
ITAPUÍ;Qtd-Doses-Distribuidas;204º;19559
CAMPINA DO MONTE ALEGRE;% em relação as doses enviadas;205º;0,981914092
CAMPINA DO MONTE ALEGRE;Total de Doses Aplicadas;205º;9121
CAMPINA DO MONTE ALEGRE;Qtd-Doses-Distribuidas;205º;9289
SANTA MERCEDES;% em relação as doses enviadas;206º;0,981870843
SANTA MERCEDES;Total de Doses Aplicadas;206º;4576,5
SANTA MERCEDES;Qtd-Doses-Distribuidas;206º;4661
URÂNIA;% em relação as doses enviadas;207º;0,981657459
URÂNIA;Total de Doses Aplicadas;207º;13326
URÂNIA;Qtd-Doses-Distribuidas;207º;13575
ROSANA;% em relação as doses enviadas;208º;0,981401948
ROSANA;Total de Doses Aplicadas;208º;25593
ROSANA;Qtd-Doses-Distribuidas;208º;26078
SANTA GERTRUDES;% em relação as doses enviadas;209º;0,981350897
SANTA GERTRUDES;Total de Doses Aplicadas;209º;32704,5
SANTA GERTRUDES;Qtd-Doses-Distribuidas;209º;33326
MANDURI;% em relação as doses enviadas;210º;0,981323830
MANDURI;Total de Doses Aplicadas;210º;14870
MANDURI;Qtd-Doses-Distribuidas;210º;15153
AVAÍ;% em relação as doses enviadas;211º;0,981060606
AVAÍ;Total de Doses Aplicadas;211º;7770
AVAÍ;Qtd-Doses-Distribuidas;211º;7920
FRANCO DA ROCHA;% em relação as doses enviadas;212º;0,981024715
FRANCO DA ROCHA;Total de Doses Aplicadas;212º;215770,5
FRANCO DA ROCHA;Qtd-Doses-Distribuidas;212º;219944
AMPARO;% em relação as doses enviadas;213º;0,980959117
AMPARO;Total de Doses Aplicadas;213º;108189
AMPARO;Qtd-Doses-Distribuidas;213º;110289
IPAUSSU;% em relação as doses enviadas;214º;0,980829345
IPAUSSU;Total de Doses Aplicadas;214º;20081,5
IPAUSSU;Qtd-Doses-Distribuidas;214º;20474
BERNARDINO DE CAMPOS;% em relação as doses enviadas;215º;0,980387205
BERNARDINO DE CAMPOS;Total de Doses Aplicadas;215º;17470,5
BERNARDINO DE CAMPOS;Qtd-Doses-Distribuidas;215º;17820
SARUTAIÁ;% em relação as doses enviadas;216º;0,979651679
SARUTAIÁ;Total de Doses Aplicadas;216º;5512,5
SARUTAIÁ;Qtd-Doses-Distribuidas;216º;5627
CÂNDIDO MOTA;% em relação as doses enviadas;217º;0,979381099
CÂNDIDO MOTA;Total de Doses Aplicadas;217º;43960,5
CÂNDIDO MOTA;Qtd-Doses-Distribuidas;217º;44886
PAULICÉIA;% em relação as doses enviadas;218º;0,979133748
PAULICÉIA;Total de Doses Aplicadas;218º;10534,5
PAULICÉIA;Qtd-Doses-Distribuidas;218º;10759
DIADEMA;% em relação as doses enviadas;219º;0,979054642
DIADEMA;Total de Doses Aplicadas;219º;575176
DIADEMA;Qtd-Doses-Distribuidas;219º;587481
AREALVA;% em relação as doses enviadas;220º;0,979008791
AREALVA;Total de Doses Aplicadas;220º;12919
AREALVA;Qtd-Doses-Distribuidas;220º;13196
TEODORO SAMPAIO;% em relação as doses enviadas;221º;0,978935803
TEODORO SAMPAIO;Total de Doses Aplicadas;221º;31184
TEODORO SAMPAIO;Qtd-Doses-Distribuidas;221º;31855
SÃO LUIZ DO PARAITINGA;% em relação as doses enviadas;222º;0,978744240
SÃO LUIZ DO PARAITINGA;Total de Doses Aplicadas;222º;16991
SÃO LUIZ DO PARAITINGA;Qtd-Doses-Distribuidas;222º;17360
CAPÃO BONITO;% em relação as doses enviadas;223º;0,978214831
CAPÃO BONITO;Total de Doses Aplicadas;223º;66052
CAPÃO BONITO;Qtd-Doses-Distribuidas;223º;67523
IPUÃ;% em relação as doses enviadas;224º;0,978008021
IPUÃ;Total de Doses Aplicadas;224º;21946,5
IPUÃ;Qtd-Doses-Distribuidas;224º;22440
SERTÃOZINHO;% em relação as doses enviadas;225º;0,977917158
SERTÃOZINHO;Total de Doses Aplicadas;225º;179926
SERTÃOZINHO;Qtd-Doses-Distribuidas;225º;183989
PALMITAL;% em relação as doses enviadas;226º;0,977517473
PALMITAL;Total de Doses Aplicadas;226º;32587,5
PALMITAL;Qtd-Doses-Distribuidas;226º;33337
QUATÁ;% em relação as doses enviadas;227º;0,977316578
QUATÁ;Total de Doses Aplicadas;227º;19754,5
QUATÁ;Qtd-Doses-Distribuidas;227º;20213
PINHALZINHO;% em relação as doses enviadas;228º;0,977253200
PINHALZINHO;Total de Doses Aplicadas;228º;22748,5
PINHALZINHO;Qtd-Doses-Distribuidas;228º;23278
GUARATINGUETÁ;% em relação as doses enviadas;229º;0,977112085
GUARATINGUETÁ;Total de Doses Aplicadas;229º;174735
GUARATINGUETÁ;Qtd-Doses-Distribuidas;229º;178828
TANABI;% em relação as doses enviadas;230º;0,976737711
TANABI;Total de Doses Aplicadas;230º;38587
TANABI;Qtd-Doses-Distribuidas;230º;39506
PONTES GESTAL;% em relação as doses enviadas;231º;0,975769813
PONTES GESTAL;Total de Doses Aplicadas;231º;3866
PONTES GESTAL;Qtd-Doses-Distribuidas;231º;3962
JUNQUEIRÓPOLIS;% em relação as doses enviadas;232º;0,975682421
JUNQUEIRÓPOLIS;Total de Doses Aplicadas;232º;31275,5
JUNQUEIRÓPOLIS;Qtd-Doses-Distribuidas;232º;32055
JACI;% em relação as doses enviadas;233º;0,975669208
JACI;Total de Doses Aplicadas;233º;11007,5
JACI;Qtd-Doses-Distribuidas;233º;11282
JALES;% em relação as doses enviadas;234º;0,975531774
JALES;Total de Doses Aplicadas;234º;73838
JALES;Qtd-Doses-Distribuidas;234º;75690
TAIAÇU;% em relação as doses enviadas;235º;0,975349839
TAIAÇU;Total de Doses Aplicadas;235º;9061
TAIAÇU;Qtd-Doses-Distribuidas;235º;9290
RIBEIRÃO BONITO;% em relação as doses enviadas;236º;0,975160301
RIBEIRÃO BONITO;Total de Doses Aplicadas;236º;17489,5
RIBEIRÃO BONITO;Qtd-Doses-Distribuidas;236º;17935
FERNÃO;% em relação as doses enviadas;237º;0,975
FERNÃO;Total de Doses Aplicadas;237º;2613
FERNÃO;Qtd-Doses-Distribuidas;237º;2680
ITAPIRAPUÃ PAULISTA;% em relação as doses enviadas;238º;0,974964121
ITAPIRAPUÃ PAULISTA;Total de Doses Aplicadas;238º;6114
ITAPIRAPUÃ PAULISTA;Qtd-Doses-Distribuidas;238º;6271
TERRA ROXA;% em relação as doses enviadas;239º;0,974954062
TERRA ROXA;Total de Doses Aplicadas;239º;12203,5
TERRA ROXA;Qtd-Doses-Distribuidas;239º;12517
ILHABELA;% em relação as doses enviadas;240º;0,974909999
ILHABELA;Total de Doses Aplicadas;240º;53078
ILHABELA;Qtd-Doses-Distribuidas;240º;54444
SANTO EXPEDITO;% em relação as doses enviadas;241º;0,974727349
SANTO EXPEDITO;Total de Doses Aplicadas;241º;4647,5
SANTO EXPEDITO;Qtd-Doses-Distribuidas;241º;4768
FERNANDO PRESTES;% em relação as doses enviadas;242º;0,973825072
FERNANDO PRESTES;Total de Doses Aplicadas;242º;9096,5
FERNANDO PRESTES;Qtd-Doses-Distribuidas;242º;9341
CAMPOS NOVOS PAULISTA;% em relação as doses enviadas;243º;0,973710108
CAMPOS NOVOS PAULISTA;Total de Doses Aplicadas;243º;6926
CAMPOS NOVOS PAULISTA;Qtd-Doses-Distribuidas;243º;7113
PARIQUERA-AÇU;% em relação as doses enviadas;244º;0,973380581
PARIQUERA-AÇU;Total de Doses Aplicadas;244º;28430,5
PARIQUERA-AÇU;Qtd-Doses-Distribuidas;244º;29208
SALTO;% em relação as doses enviadas;245º;0,973265670
SALTO;Total de Doses Aplicadas;245º;170976,5
SALTO;Qtd-Doses-Distribuidas;245º;175673
ITUPEVA;% em relação as doses enviadas;246º;0,972973125
ITUPEVA;Total de Doses Aplicadas;246º;86346,5
ITUPEVA;Qtd-Doses-Distribuidas;246º;88745
QUEIROZ;% em relação as doses enviadas;247º;0,972644677
QUEIROZ;Total de Doses Aplicadas;247º;4924,5
QUEIROZ;Qtd-Doses-Distribuidas;247º;5063
APIAÍ;% em relação as doses enviadas;248º;0,972113558
APIAÍ;Total de Doses Aplicadas;248º;34790
APIAÍ;Qtd-Doses-Distribuidas;248º;35788
IACRI;% em relação as doses enviadas;249º;0,972060773
IACRI;Total de Doses Aplicadas;249º;9533
IACRI;Qtd-Doses-Distribuidas;249º;9807
TURIÚBA;% em relação as doses enviadas;250º;0,972026854
TURIÚBA;Total de Doses Aplicadas;250º;3040,5
TURIÚBA;Qtd-Doses-Distribuidas;250º;3128
SÃO BERNARDO DO CAMPO;% em relação as doses enviadas;251º;0,971842082
SÃO BERNARDO DO CAMPO;Total de Doses Aplicadas;251º;1162017
SÃO BERNARDO DO CAMPO;Qtd-Doses-Distribuidas;251º;1195685
IACANGA;% em relação as doses enviadas;252º;0,971829732
IACANGA;Total de Doses Aplicadas;252º;16369,5
IACANGA;Qtd-Doses-Distribuidas;252º;16844
SÃO JOÃO DE IRACEMA;% em relação as doses enviadas;253º;0,971682020
SÃO JOÃO DE IRACEMA;Total de Doses Aplicadas;253º;2848
SÃO JOÃO DE IRACEMA;Qtd-Doses-Distribuidas;253º;2931
ANHUMAS;% em relação as doses enviadas;254º;0,971497198
ANHUMAS;Total de Doses Aplicadas;254º;6067
ANHUMAS;Qtd-Doses-Distribuidas;254º;6245
ITARARÉ;% em relação as doses enviadas;255º;0,971255976
ITARARÉ;Total de Doses Aplicadas;255º;67850
ITARARÉ;Qtd-Doses-Distribuidas;255º;69858
ASSIS;% em relação as doses enviadas;256º;0,970912755
ASSIS;Total de Doses Aplicadas;256º;148888,5
ASSIS;Qtd-Doses-Distribuidas;256º;153349
ITAJU;% em relação as doses enviadas;257º;0,970843792
ITAJU;Total de Doses Aplicadas;257º;5028
ITAJU;Qtd-Doses-Distribuidas;257º;5179
BADY BASSITT;% em relação as doses enviadas;258º;0,970593393
BADY BASSITT;Total de Doses Aplicadas;258º;27675,5
BADY BASSITT;Qtd-Doses-Distribuidas;258º;28514
COROADOS;% em relação as doses enviadas;259º;0,970376812
COROADOS;Total de Doses Aplicadas;259º;8369,5
COROADOS;Qtd-Doses-Distribuidas;259º;8625
GUAÍRA;% em relação as doses enviadas;260º;0,969989852
GUAÍRA;Total de Doses Aplicadas;260º;58309
GUAÍRA;Qtd-Doses-Distribuidas;260º;60113
JOANÓPOLIS;% em relação as doses enviadas;261º;0,969969452
JOANÓPOLIS;Total de Doses Aplicadas;261º;19686,5
JOANÓPOLIS;Qtd-Doses-Distribuidas;261º;20296
BORACÉIA;% em relação as doses enviadas;262º;0,969688465
BORACÉIA;Total de Doses Aplicadas;262º;6910
BORACÉIA;Qtd-Doses-Distribuidas;262º;7126
SANTA ALBERTINA;% em relação as doses enviadas;263º;0,969427205
SANTA ALBERTINA;Total de Doses Aplicadas;263º;9528,5
SANTA ALBERTINA;Qtd-Doses-Distribuidas;263º;9829
NOVA GUATAPORANGA;% em relação as doses enviadas;264º;0,968715697
NOVA GUATAPORANGA;Total de Doses Aplicadas;264º;3530
NOVA GUATAPORANGA;Qtd-Doses-Distribuidas;264º;3644
LUCIANÓPOLIS;% em relação as doses enviadas;265º;0,968453450
LUCIANÓPOLIS;Total de Doses Aplicadas;265º;3776
LUCIANÓPOLIS;Qtd-Doses-Distribuidas;265º;3899
MAGDA;% em relação as doses enviadas;266º;0,968311232
MAGDA;Total de Doses Aplicadas;266º;4965,5
MAGDA;Qtd-Doses-Distribuidas;266º;5128
TORRINHA;% em relação as doses enviadas;267º;0,968257111
TORRINHA;Total de Doses Aplicadas;267º;14672
TORRINHA;Qtd-Doses-Distribuidas;267º;15153
QUINTANA;% em relação as doses enviadas;268º;0,968246869
QUINTANA;Total de Doses Aplicadas;268º;9742,5
QUINTANA;Qtd-Doses-Distribuidas;268º;10062
DOIS CÓRREGOS;% em relação as doses enviadas;269º;0,968157466
DOIS CÓRREGOS;Total de Doses Aplicadas;269º;36865,5
DOIS CÓRREGOS;Qtd-Doses-Distribuidas;269º;38078
TIETÊ;% em relação as doses enviadas;270º;0,967927453
TIETÊ;Total de Doses Aplicadas;270º;58065
TIETÊ;Qtd-Doses-Distribuidas;270º;59989
ITATIBA;% em relação as doses enviadas;271º;0,967586128
ITATIBA;Total de Doses Aplicadas;271º;169777,5
ITATIBA;Qtd-Doses-Distribuidas;271º;175465
LINS;% em relação as doses enviadas;272º;0,967533879
LINS;Total de Doses Aplicadas;272º;111308
LINS;Qtd-Doses-Distribuidas;272º;115043
MIRASSOL;% em relação as doses enviadas;273º;0,967511723
MIRASSOL;Total de Doses Aplicadas;273º;89341
MIRASSOL;Qtd-Doses-Distribuidas;273º;92341
SÃO JOSÉ DOS CAMPOS;% em relação as doses enviadas;274º;0,967482085
SÃO JOSÉ DOS CAMPOS;Total de Doses Aplicadas;274º;1021485
SÃO JOSÉ DOS CAMPOS;Qtd-Doses-Distribuidas;274º;1055818
PLANALTO;% em relação as doses enviadas;275º;0,967250463
PLANALTO;Total de Doses Aplicadas;275º;6793
PLANALTO;Qtd-Doses-Distribuidas;275º;7023
OSCAR BRESSANE;% em relação as doses enviadas;276º;0,966960352
OSCAR BRESSANE;Total de Doses Aplicadas;276º;3951
OSCAR BRESSANE;Qtd-Doses-Distribuidas;276º;4086
LAVÍNIA;% em relação as doses enviadas;277º;0,966540204
LAVÍNIA;Total de Doses Aplicadas;277º;18343
LAVÍNIA;Qtd-Doses-Distribuidas;277º;18978
NOVA CAMPINA;% em relação as doses enviadas;278º;0,966390354
NOVA CAMPINA;Total de Doses Aplicadas;278º;12824
NOVA CAMPINA;Qtd-Doses-Distribuidas;278º;13270
ITAPEVA;% em relação as doses enviadas;279º;0,966180711
ITAPEVA;Total de Doses Aplicadas;279º;132017
ITAPEVA;Qtd-Doses-Distribuidas;279º;136638
NOVO HORIZONTE;% em relação as doses enviadas;280º;0,965748313
NOVO HORIZONTE;Total de Doses Aplicadas;280º;59521
NOVO HORIZONTE;Qtd-Doses-Distribuidas;280º;61632
RIBEIRÃO BRANCO;% em relação as doses enviadas;281º;0,965724237
RIBEIRÃO BRANCO;Total de Doses Aplicadas;281º;23568,5
RIBEIRÃO BRANCO;Qtd-Doses-Distribuidas;281º;24405
TRABIJU;% em relação as doses enviadas;282º;0,965377532
TRABIJU;Total de Doses Aplicadas;282º;2621
TRABIJU;Qtd-Doses-Distribuidas;282º;2715
ANDRADINA;% em relação as doses enviadas;283º;0,965239413
ANDRADINA;Total de Doses Aplicadas;283º;84040,5
ANDRADINA;Qtd-Doses-Distribuidas;283º;87067
LOURDES;% em relação as doses enviadas;284º;0,965012205
LOURDES;Total de Doses Aplicadas;284º;3558
LOURDES;Qtd-Doses-Distribuidas;284º;3687
MOGI MIRIM;% em relação as doses enviadas;285º;0,964593098
MOGI MIRIM;Total de Doses Aplicadas;285º;138299,5
MOGI MIRIM;Qtd-Doses-Distribuidas;285º;143376
ITAPIRA;% em relação as doses enviadas;286º;0,964574502
ITAPIRA;Total de Doses Aplicadas;286º;110819
ITAPIRA;Qtd-Doses-Distribuidas;286º;114889
SÃO MANUEL;% em relação as doses enviadas;287º;0,964081339
SÃO MANUEL;Total de Doses Aplicadas;287º;53574
SÃO MANUEL;Qtd-Doses-Distribuidas;287º;55570
NOVA CASTILHO;% em relação as doses enviadas;288º;0,963493780
NOVA CASTILHO;Total de Doses Aplicadas;288º;1781,5
NOVA CASTILHO;Qtd-Doses-Distribuidas;288º;1849
ECHAPORÃ;% em relação as doses enviadas;289º;0,963480567
ECHAPORÃ;Total de Doses Aplicadas;289º;9445
ECHAPORÃ;Qtd-Doses-Distribuidas;289º;9803
ILHA COMPRIDA;% em relação as doses enviadas;290º;0,963393810
ILHA COMPRIDA;Total de Doses Aplicadas;290º;18054
ILHA COMPRIDA;Qtd-Doses-Distribuidas;290º;18740
INÚBIA PAULISTA;% em relação as doses enviadas;291º;0,963356974
INÚBIA PAULISTA;Total de Doses Aplicadas;291º;5705
INÚBIA PAULISTA;Qtd-Doses-Distribuidas;291º;5922
ARAÇATUBA;% em relação as doses enviadas;292º;0,963239712
ARAÇATUBA;Total de Doses Aplicadas;292º;288563,5
ARAÇATUBA;Qtd-Doses-Distribuidas;292º;299576
MERIDIANO;% em relação as doses enviadas;293º;0,963164344
MERIDIANO;Total de Doses Aplicadas;293º;6288,5
MERIDIANO;Qtd-Doses-Distribuidas;293º;6529
BOM SUCESSO DE ITARARÉ;% em relação as doses enviadas;294º;0,962888848
BOM SUCESSO DE ITARARÉ;Total de Doses Aplicadas;294º;5293
BOM SUCESSO DE ITARARÉ;Qtd-Doses-Distribuidas;294º;5497
SANTA ADÉLIA;% em relação as doses enviadas;295º;0,962133309
SANTA ADÉLIA;Total de Doses Aplicadas;295º;21089
SANTA ADÉLIA;Qtd-Doses-Distribuidas;295º;21919
JÚLIO MESQUITA;% em relação as doses enviadas;296º;0,961934455
JÚLIO MESQUITA;Total de Doses Aplicadas;296º;6633,5
JÚLIO MESQUITA;Qtd-Doses-Distribuidas;296º;6896
PENÁPOLIS;% em relação as doses enviadas;297º;0,961798702
PENÁPOLIS;Total de Doses Aplicadas;297º;91116
PENÁPOLIS;Qtd-Doses-Distribuidas;297º;94735
MORUNGABA;% em relação as doses enviadas;298º;0,961478371
